0textId year verbs innerVerbs voir:perception regarder:perception sentir:perception apercevoir:perception vouloir:volition oser:volition compter:volition essayer:volition savoir:cognition trouver:cognition croire:cognition entendre:cognition attendre:cognition connaître:cognition devoir:moral falloir:moral espérer:moral valoir:moral refuser:moral accepter:moral engager:moral aimer:affect manquer:affect souffrir:affect craindre:affect 
FRA04401 1916 22238 1920 499 160 45 28 151 15 25 40 239 77 85 112 72 45 59 208 6 8 2 3 17 9 7 6 2 
FRA04501 1908 4826 485 107 20 26 5 57 1 5 1 35 30 32 18 15 23 28 25 2 5 4 6 1 21 9 1 8 
FRA04601 1907 15953 1522 234 85 52 41 186 12 16 23 134 60 82 85 54 68 81 84 16 11 21 15 14 82 20 35 11 
FRA04701 1919 8219 825 118 44 33 15 83 5 10 8 93 42 44 45 17 39 42 53 5 13 10 14 2 58 12 13 7 
FRA04801 1909 6305 746 81 12 47 5 92 6 3 8 88 37 41 34 36 35 47 62 6 7 4 5 1 65 15 5 4 
FRA04901 1845 41867 4294 645 234 72 88 491 54 56 84 429 264 303 255 312 103 211 171 55 30 31 24 19 207 68 28 60 
FRA05101 1904 7532 604 91 12 27 4 63 7 9 4 46 47 42 33 26 20 36 39 3 22 7 2 13 29 13 4 5 
FRA05201 1856 5485 625 78 19 19 13 53 3 2 9 75 27 64 41 20 16 68 31 9 5 10 6 2 36 7 6 6 
FRA05301 1906 9585 912 147 73 27 73 61 9 9 12 45 72 70 67 32 28 85 61 4 2 2 2 5 3 10 2 11 
FRA05401 1849 20794 2867 356 168 53 82 421 44 19 8 240 197 187 93 92 115 174 170 63 23 15 17 11 223 32 17 47 
FRA05501 1910 8512 678 83 19 24 14 42 5 6 17 85 83 26 42 24 34 63 43 3 9 10 10 14 6 8 1 7 
FRA05602 1904 35191 3519 416 143 93 65 372 54 52 43 412 230 271 156 139 144 289 106 38 38 40 51 13 185 48 54 67 
FRA05702 1857 32835 3326 575 176 101 60 297 40 44 41 404 176 189 197 198 140 154 165 37 34 40 30 10 89 50 45 34 
FRA05801 1912 9370 1079 147 48 26 25 143 9 9 7 180 49 62 54 31 43 59 89 1 11 9 8 9 40 14 3 3 
FRA05901 1907 13026 988 166 69 71 21 54 23 7 8 79 67 24 111 42 22 46 67 4 16 7 9 3 41 8 13 10 
FRA06001 1902 10417 1171 176 37 43 25 146 19 5 29 116 59 67 59 37 40 84 60 15 7 3 9 6 63 16 21 29 
FRA06101 1848 10892 1135 165 42 62 23 92 10 13 10 128 64 83 40 31 41 94 40 10 16 8 12 13 83 21 24 10 
FRA06201 1845 8686 800 91 12 19 28 99 19 9 3 62 51 45 62 39 40 55 41 11 1 2 4 8 49 10 19 21 
FRA06301 1884 29071 3289 381 89 76 52 338 18 58 20 315 335 195 136 161 182 235 222 37 10 45 55 22 200 32 47 28 
FRA06401 1876 27168 2833 342 95 99 52 322 62 35 41 325 147 186 157 105 99 210 129 45 16 32 50 16 137 44 69 18 
FRA06501 1897 9603 1287 189 100 22 44 134 13 13 4 167 62 118 58 23 33 52 61 16 8 7 11 1 120 4 16 11 
FRA06601 1902 12898 1409 172 67 43 16 155 18 9 6 115 67 110 54 35 51 90 90 16 29 23 20 6 157 12 27 21 
FRA06701 1882 10840 1141 151 51 55 22 130 34 23 24 121 63 54 33 41 41 41 94 8 11 17 33 5 34 26 12 17 
FRA06801 1861 13591 1429 176 27 20 16 193 19 17 15 191 76 83 58 55 49 112 108 16 12 13 24 9 90 19 10 21 
FRA06901 1879 16301 2058 254 53 112 13 235 23 30 22 231 140 82 66 100 74 140 165 20 23 15 33 16 160 15 21 15 
FRA07001 1892 4658 383 55 28 16 8 36 8 1 5 46 16 27 35 11 11 21 9 5 3 2 2 1 20 8 2 7 
FRA07101 1856 7760 821 106 24 3 12 123 6 7 10 59 96 41 40 15 21 63 48 15 3 13 13 3 51 13 22 14 
FRA07201 1886 14192 1503 157 25 51 32 165 11 34 64 137 159 68 67 65 69 142 82 27 9 16 12 16 47 22 11 15 
FRA07301 1853 9094 985 134 52 21 28 121 9 11 22 95 72 50 41 40 24 50 42 10 8 13 11 5 84 8 26 8 
FRA07401 1910 20841 1910 255 82 44 47 206 17 18 18 245 130 95 94 100 113 114 130 16 31 18 23 21 54 15 7 17 
FRA07501 1897 27972 3381 475 67 52 73 473 38 23 29 464 193 216 157 110 103 194 286 58 48 41 23 20 149 44 24 21 
FRA07601 1913 40461 4414 655 246 54 161 391 41 30 39 514 318 249 440 231 198 290 200 34 16 25 17 13 157 37 25 33 
